,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Tank Pressure,Inlet Pressure,Valve Position
0,1643229625.9940953,0.27,0.0,30.25,0.0,33.0,0.0,33.5,0.0,42.0410156,38.5742187,90.0
1,1643229626.1661232,0.29,0.0,30.5,0.0,33.0,0.0,33.5,0.0,42.0410156,38.7695312,90.0
2,1643229626.325279,0.28,0.0,30.25,0.0,33.0,0.0,33.5,0.0,42.2851562,38.7695312,90.0
3,1643229626.4908779,0.28,0.0,30.25,0.0,33.0,0.0,33.5,0.0,42.0410156,38.5742187,90.0
4,1643229626.6631265,0.28,0.0,29.75,0.0,33.0,0.0,33.75,0.0,42.2851562,38.671875,90.0
5,1643229626.8358731,0.28,0.0,28.5,0.0,33.0,0.0,33.5,0.0,42.2851562,38.7695312,90.0
6,1643229627.0050316,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.0410156,38.5742187,90.0
7,1643229627.1613233,0.28,0.0,28.25,0.0,33.0,0.0,33.5,0.0,41.796875,38.4765625,90.0
8,1643229627.3309653,0.27,0.0,28.5,0.0,33.0,0.0,33.5,0.0,42.0410156,38.5742187,90.0
9,1643229627.5041678,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.2851562,38.7695312,90.0
10,1643229627.671917,0.29,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.2851562,38.7695312,90.0
11,1643229627.8285468,0.28,0.0,29.0,0.0,33.0,0.0,33.75,0.0,42.5292968,38.7695312,90.0
12,1643229627.999837,0.28,0.0,29.25,0.0,33.0,0.0,33.5,0.0,42.2851562,38.5742187,90.0
13,1643229628.1759372,0.28,0.0,29.25,0.0,33.0,0.0,33.25,0.0,42.0410156,38.4765625,90.0
14,1643229628.32815,0.28,0.0,29.25,0.0,33.0,0.0,33.5,0.0,42.2851562,38.671875,90.0
15,1643229628.4985752,0.27,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.5292968,38.7695312,90.0
16,1643229628.670834,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.7734375,39.0625,90.0
17,1643229628.848681,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.5292968,38.7695312,90.0
18,1643229628.9986358,0.28,0.0,29.25,0.0,33.0,0.0,33.5,0.0,42.5292968,38.7695312,90.0
19,1643229629.1717172,0.26,0.0,29.25,0.0,33.0,0.0,33.5,0.0,42.7734375,38.9648437,90.0
20,1643229629.3376522,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.7734375,39.0625,90.0
21,1643229629.5179315,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.7734375,39.1601562,90.0
22,1643229629.6751647,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,43.0175781,39.2578125,90.0
23,1643229629.8349288,0.28,0.0,29.0,0.0,33.25,0.0,33.5,0.0,43.2617187,39.3554687,90.0
24,1643229630.0022156,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,43.2617187,39.5507812,90.0
25,1643229630.1760442,0.29,0.0,29.0,0.0,33.25,0.0,33.75,0.0,42.7734375,38.8671875,90.0
26,1643229630.3443394,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.2851562,38.4765625,90.0
27,1643229630.5023375,0.28,0.0,29.25,0.0,33.0,0.0,33.5,0.0,42.0410156,38.5742187,90.0
28,1643229630.6764154,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.2851562,38.9648437,90.0
29,1643229630.8437266,0.28,0.0,29.0,0.0,33.25,0.0,33.5,0.0,42.5292968,38.9648437,90.0
30,1643229631.0141995,0.28,0.0,29.0,0.0,33.0,0.0,33.5,0.0,42.7734375,39.1601562,90.0
31,1643229631.1701524,0.27,0.0,29.0,0.0,33.25,0.0,33.5,0.0,42.2851562,38.671875,90.0
32,1643229631.3465347,0.28,0.0,29.25,0.0,33.25,0.0,33.75,0.0,42.5292968,38.9648437,90.0
33,1643229631.5087159,0.28,0.0,29.0,0.0,33.25,0.0,33.5,0.0,42.5292968,38.8671875,90.0
34,1643229631.6843793,0.28,0.0,29.25,0.0,33.25,0.0,33.5,0.0,42.5292968,38.9648437,90.0
35,1643229631.839711,0.26,0.0,29.25,0.0,33.25,0.0,33.75,0.0,42.5292968,38.8671875,90.0
36,1643229632.0220153,0.27,0.0,29.25,0.0,33.25,0.0,33.5,0.0,42.7734375,38.8671875,90.0
37,1643229632.1821911,0.29,0.0,29.25,0.0,33.25,0.0,33.5,0.0,42.7734375,38.9648437,90.0
38,1643229632.3429935,0.28,0.0,29.5,0.0,33.25,0.0,33.5,0.0,42.7734375,38.9648437,90.0
39,1643229632.5134625,0.28,0.0,29.5,0.0,33.25,0.0,33.5,0.0,42.2851562,38.671875,90.0
40,1643229632.687965,0.28,0.0,30.0,0.0,33.0,0.0,33.5,0.0,42.2851562,38.671875,90.0
41,1643229632.8558614,0.28,0.0,30.0,0.0,33.0,0.0,33.5,0.0,42.2851562,38.671875,90.0
42,1643229633.0148711,0.27,0.0,29.5,0.0,33.25,0.0,33.5,0.0,41.796875,38.3789062,90.0
43,1643229633.1899118,0.27,0.0,29.5,0.0,33.25,0.0,33.5,0.0,41.796875,38.4765625,90.0
44,1643229633.3561358,0.28,0.0,29.25,0.0,33.0,0.0,33.5,0.0,41.796875,38.28125,90.0
45,1643229633.5247073,0.28,0.0,29.5,0.0,33.0,0.0,33.5,0.0,42.0410156,38.671875,90.0
46,1643229633.6833973,0.28,0.0,29.25,0.0,33.25,0.0,33.5,0.0,42.0410156,38.5742187,90.0
47,1643229633.8612344,0.27,0.0,55.25,0.0,33.25,0.0,33.5,0.0,42.2851562,38.8671875,90.0
48,1643229634.0136123,0.28,0.0,30.0,0.0,33.25,0.0,33.5,0.0,42.2851562,38.9648437,90.0
49,1643229634.1844978,0.28,0.0,29.0,0.0,33.0,0.0,33.25,0.0,42.2851562,38.7695312,90.0
50,1643229634.3564851,0.28,0.0,29.0,0.0,33.25,0.0,33.25,0.0,42.5292968,38.9648437,90.0
51,1643229634.5192428,0.28,0.0,29.0,0.0,33.0,0.0,33.25,0.0,43.0175781,39.0625,90.0
52,1643229634.682694,0.28,0.0,29.5,0.0,33.0,0.0,33.25,0.0,43.0175781,38.9648437,90.0
53,1643229634.870811,0.28,0.0,,0.0,33.0,0.0,31.25,0.0,43.0175781,39.0625,90.0
54,1643229635.0622993,0.27,0.0,,0.0,33.0,0.0,31.25,0.0,42.7734375,38.8671875,90.0
55,1643229635.2465973,0.27,0.0,,0.0,33.0,0.0,33.25,0.0,42.5292968,38.671875,90.0
56,1643229635.4330165,0.28,0.0,,0.0,33.0,0.0,33.25,0.0,42.2851562,38.8671875,90.0
57,1643229635.6073937,0.28,0.0,,0.0,33.0,0.0,33.25,0.0,42.5292968,38.8671875,90.0
58,1643229635.7912266,0.28,0.0,,0.0,33.0,0.0,33.25,0.0,42.2851562,38.7695312,90.0
59,1643229635.9766963,0.28,0.0,,0.0,33.0,0.0,33.5,0.0,42.2851562,38.7695312,90.0
60,1643229636.1675797,0.28,0.0,,0.0,33.0,0.0,33.25,0.0,42.2851562,38.7695312,90.0
61,1643229636.3359554,0.27,0.0,,0.0,33.0,0.0,33.5,0.0,42.2851562,38.671875,90.0
62,1643229636.5254533,0.26,0.0,,0.0,33.0,0.0,33.5,0.0,42.2851562,38.9648437,90.0
63,1643229636.7165651,0.27,0.0,,0.0,33.0,0.0,33.25,0.0,42.5292968,39.1601562,90.0
64,1643229636.898188,0.28,0.0,,0.0,33.0,0.0,33.25,0.0,42.5292968,38.7695312,90.0
