,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Tank Pressure,Inlet Pressure,Valve Position,Heater Current
0,1643231105.4789722,0.27,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.640625,90.0,606.0
1,1643231105.6505334,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.8359375,90.0,601.0
2,1643231105.81904,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,608.0
3,1643231105.9882936,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.2207031,56.7382812,90.0,608.0
4,1643231106.1606698,0.25,0.0,28.5,0.0,28.75,0.0,27.75,0.0,76.2207031,56.8359375,90.0,604.0
5,1643231106.3123488,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,76.4648437,56.8359375,90.0,602.0
6,1643231106.4845388,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.2207031,56.640625,90.0,608.0
7,1643231106.6562932,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.4648437,56.8359375,90.0,608.0
8,1643231106.8309252,0.27,0.0,28.75,0.0,28.75,0.0,27.75,0.0,76.2207031,56.640625,90.0,607.0
9,1643231106.9840424,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.4648437,56.8359375,90.0,601.0
10,1643231107.154538,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.4648437,56.7382812,90.0,605.0
11,1643231107.3261259,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.2207031,56.5429687,90.0,602.0
12,1643231107.5020099,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,75.9765625,56.4453125,90.0,604.0
13,1643231107.6540868,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.7324218,56.3476562,90.0,608.0
14,1643231107.8268387,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,75.9765625,56.8359375,90.0,605.0
15,1643231107.9963312,0.25,0.0,28.5,0.0,28.5,0.0,28.0,0.0,75.9765625,56.5429687,90.0,604.0
16,1643231108.1543412,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.640625,90.0,605.0
17,1643231108.3213654,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.7382812,90.0,604.0
18,1643231108.4921334,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.7382812,90.0,602.0
19,1643231108.6653762,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,76.2207031,56.5429687,90.0,606.0
20,1643231108.819835,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.4453125,90.0,604.0
21,1643231108.9909823,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.5429687,90.0,602.0
22,1643231109.1610546,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.640625,90.0,603.0
23,1643231109.3359766,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.2207031,56.7382812,90.0,602.0
24,1643231109.502531,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,603.0
25,1643231109.6586118,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.640625,90.0,604.0
26,1643231109.8284142,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,75.9765625,56.640625,90.0,604.0
27,1643231110.0037727,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,606.0
28,1643231110.1727104,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,76.2207031,56.8359375,90.0,608.0
29,1643231110.328184,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,606.0
30,1643231110.5004559,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,606.0
31,1643231110.6764348,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.4648437,56.8359375,90.0,604.0
32,1643231110.827858,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.7382812,90.0,605.0
33,1643231110.9989238,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.2207031,56.640625,90.0,608.0
34,1643231111.1705985,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.2207031,56.5429687,90.0,601.0
35,1643231111.3449557,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.5429687,90.0,601.0
36,1643231111.513049,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.8359375,90.0,604.0
37,1643231111.666477,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.7382812,90.0,607.0
38,1643231111.8385057,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.7382812,90.0,606.0
39,1643231112.0100005,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,76.2207031,56.5429687,90.0,599.0
40,1643231112.1784031,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,75.9765625,56.640625,90.0,601.0
41,1643231112.3336866,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,604.0
42,1643231112.5051093,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.8359375,90.0,604.0
43,1643231112.6769626,0.27,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.2207031,56.640625,90.0,602.0
44,1643231112.844158,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,605.0
45,1643231113.0010524,0.28,0.0,28.75,0.0,28.75,0.0,28.0,0.0,75.9765625,56.7382812,90.0,604.0
46,1643231113.1718547,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,605.0
47,1643231113.3468857,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.2207031,56.640625,90.0,603.0
48,1643231113.5134442,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,76.2207031,56.8359375,90.0,602.0
49,1643231113.670403,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.7089843,56.9335937,90.0,603.0
50,1643231113.8408089,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.4648437,56.5429687,90.0,606.0
51,1643231114.0186374,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.4648437,56.5429687,90.0,603.0
52,1643231114.183357,0.25,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.7089843,56.8359375,90.0,605.0
53,1643231114.3401117,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,77.1972656,56.9335937,90.0,605.0
54,1643231114.5114582,0.27,0.0,28.75,0.0,28.75,0.0,28.0,0.0,76.953125,56.7382812,90.0,606.0
55,1643231114.6875875,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,76.953125,56.640625,90.0,605.0
56,1643231114.8433452,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,76.4648437,56.640625,90.0,603.0
57,1643231115.0169723,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,76.2207031,56.5429687,90.0,605.0
58,1643231115.1902359,0.28,0.0,28.75,0.0,28.5,0.0,28.0,0.0,75.9765625,56.640625,90.0,607.0
