,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644534059.5325325,0.0,154.66,0.0,24.38,23.25,30.0,56.25,228.75,17.1386718,16.9921875,10.546875,0.0976563,0.0,300.0,0.61
1,1644534059.6995432,0.1760120391845703,154.77,0.0,24.35,22.75,29.5,56.5,228.5,17.1386718,16.6992187,10.9375,0.0,0.0,300.0,-4.92
2,1644534059.8715558,0.2840230464935303,154.16,0.0,24.35,23.25,30.75,56.0,228.25,17.1386718,16.8945312,10.7421875,0.0,0.0,300.0,-0.19
3,1644534060.0555701,0.5060358047485352,154.24,0.0,24.36,23.0,30.5,56.5,228.75,16.8945312,17.0898437,10.546875,0.0,0.0,300.0,5.0
4,1644534060.2055838,0.6180472373962402,153.76,0.0,24.43,23.25,30.75,56.25,228.75,17.1386718,16.9921875,10.8398437,0.0,0.0,300.0,0.16
5,1644534060.377099,0.8375668525695801,153.69,0.0,24.43,23.0,31.0,56.75,228.5,17.1386718,16.6015625,11.0351562,0.0,0.0,300.0,-5.03
6,1644534060.5601141,0.9485733509063721,153.64,0.0,24.37,23.25,29.5,57.0,228.25,16.8945312,16.9921875,11.0351562,0.0,0.0,300.0,0.03
7,1644534060.7231226,1.169593334197998,154.67,0.0,24.4,23.0,30.0,56.0,228.25,17.1386718,16.796875,11.1328125,0.0976563,0.0,300.0,5.03
8,1644534060.8961356,1.2776010036468506,153.81,0.0,24.41,23.0,29.75,55.25,228.0,17.1386718,16.796875,10.9375,0.0976563,0.0,300.0,1.57
9,1644534061.0769866,1.4986138343811035,153.4,0.0,24.37,23.25,29.75,56.75,228.25,17.1386718,16.6992187,11.2304687,0.0,0.0,300.0,-4.52
10,1644534061.2419982,1.7184669971466064,154.08,0.0,24.42,23.25,31.0,56.5,228.25,17.1386718,16.6992187,10.9375,0.0,0.0,300.0,-1.36
11,1644534061.4020119,1.8304760456085205,154.08,0.0,24.35,23.25,31.0,56.0,228.25,16.8945312,16.796875,10.9375,0.0976563,0.0,300.0,5.03
12,1644534061.581027,2.0524935722351074,153.55,0.0,24.44,23.25,29.25,55.75,228.75,17.1386718,16.8945312,10.9375,0.0,0.0,300.0,1.2
13,1644534061.749038,2.161501169204712,153.95,0.0,24.36,23.0,30.75,56.5,228.25,17.1386718,16.8945312,11.0351562,0.0976563,0.0,300.0,-4.79
14,1644534061.9230492,2.3835201263427734,153.84,0.0,24.46,23.5,29.75,56.5,228.5,16.8945312,16.8945312,10.546875,0.0976563,0.0,300.0,-1.12
15,1644534062.1030626,2.495527505874634,153.17,0.0,24.43,23.0,30.75,56.5,228.5,17.1386718,16.8945312,11.0351562,0.0,0.0,300.0,5.08
16,1644534062.2700772,2.7145445346832275,153.28,0.0,24.36,23.0,29.5,56.5,228.25,16.8945312,16.8945312,10.8398437,0.0,0.0,300.0,0.9
17,1644534062.4280903,2.826552629470825,155.01,0.0,24.35,23.0,30.75,56.0,228.5,17.1386718,16.9921875,10.8398437,0.0,0.0,300.0,-4.79
18,1644534062.6101172,3.0485689640045166,154.22,0.0,24.41,23.0,31.25,56.5,228.75,17.1386718,16.5039062,10.6445312,0.0,0.0,300.0,-0.77
19,1644534062.7762258,3.1586201190948486,153.9,0.0,24.38,23.5,30.5,55.75,228.0,16.8945312,17.0898437,10.8398437,0.0,0.0,300.0,5.11
20,1644534062.9530764,3.3761608600616455,154.91,0.0,24.37,23.25,30.0,56.25,228.5,16.8945312,16.9921875,10.7421875,0.0976563,0.0,300.0,0.19
21,1644534063.1273546,3.5948221683502197,154.33,0.0,24.36,22.75,30.5,56.25,228.75,16.8945312,16.8945312,10.4492187,0.0,0.0,300.0,0.03
22,1644534063.2900577,3.704289197921753,153.62,0.0,24.37,23.25,29.75,55.5,228.5,16.8945312,16.8945312,10.8398437,0.0,0.0,300.0,0.08
23,1644534063.4532237,3.9236903190612793,153.68,0.0,24.4,23.0,29.5,56.5,228.5,16.8945312,16.796875,10.8398437,0.0,0.0,300.0,0.13
24,1644534063.6182153,4.032281160354614,154.04,0.0,24.37,23.5,29.25,56.5,228.5,17.1386718,16.6992187,10.8398437,0.0,0.0,300.0,0.05
25,1644534063.8095224,4.2479729652404785,153.79,0.0,24.42,23.0,29.25,56.25,228.5,17.1386718,17.0898437,10.7421875,0.0976563,0.0,300.0,0.03
26,1644534063.9725714,4.355831861495972,153.82,0.0,24.37,23.5,30.75,56.75,228.5,17.1386718,16.9921875,10.7421875,0.0,0.0,300.0,0.03
27,1644534064.1417801,4.57289981842041,152.99,0.0,24.29,23.0,30.0,56.5,228.0,17.1386718,16.6992187,10.6445312,0.0,0.0,300.0,0.05
