,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current,Desired T_exit
0,1644862471.543957,0.015626192092895508,-0.03,24.44,22.75,22.75,23.0,22.5,-44.3847656,6.3476562,5.7617187,5.859375,51.75,200.0,0.03,[50.0]
1,1644862471.7124915,0.12752008438110352,-0.01,24.38,23.25,22.75,22.25,22.5,-44.3847656,6.3476562,5.7617187,5.859375,59.5125,200.0,-0.08,[50.0]
2,1644862471.8734152,0.34569644927978516,0.04,24.42,23.5,22.25,22.25,23.25,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.0,[50.0]
3,1644862472.037565,0.4499804973602295,0.05,24.41,23.25,22.75,22.75,22.0,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,-0.03,[50.0]
4,1644862472.2098567,0.6815271377563477,0.05,24.42,23.5,23.0,22.75,23.25,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.03,[50.0]
5,1644862472.3668585,0.7974197864532471,0.04,24.5,23.5,23.25,22.5,23.0,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,-0.11,[50.0]
6,1644862472.54509,1.0167596340179443,0.05,24.45,23.25,22.5,23.25,22.75,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.05,[50.0]
7,1644862472.7104845,1.1312637329101562,0.02,24.44,23.25,23.5,22.25,22.75,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.08,[50.0]
8,1644862472.8636599,1.2509312629699707,0.0,24.39,23.0,23.25,22.0,23.0,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.05,[50.0]
9,1644862473.0483692,1.4852805137634277,0.02,24.4,23.0,23.5,22.75,23.0,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.05,[50.0]
10,1644862473.1987104,1.6017544269561768,0.05,24.42,23.75,23.0,22.25,22.5,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.03,[50.0]
11,1644862473.3643484,1.833005666732788,0.06,24.44,24.0,22.0,23.0,22.5,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.05,[50.0]
12,1644862473.5368931,1.9519062042236328,0.04,24.45,23.25,22.0,23.25,22.75,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.05,[50.0]
13,1644862473.7117198,2.183389186859131,-0.01,24.46,23.5,23.25,23.0,23.5,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.03,[50.0]
14,1644862473.8653479,2.3183813095092773,-0.03,24.43,24.0,22.0,23.0,22.75,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.08,[50.0]
15,1644862474.04356,2.429093360900879,-0.04,24.42,22.75,23.5,23.5,22.75,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,-0.05,[50.0]
16,1644862474.2128143,2.668860912322998,-0.07,24.45,23.75,23.0,23.0,23.0,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.03,[50.0]
17,1644862474.3813753,2.784345865249634,-0.06,24.43,23.25,22.5,23.0,22.75,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.11,[50.0]
18,1644862474.5475671,3.0036110877990723,-0.05,24.44,23.5,22.0,22.75,22.75,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.11,[50.0]
19,1644862474.7011662,3.1159942150115967,-0.04,24.42,24.25,22.5,22.5,22.5,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,0.08,[50.0]
20,1644862474.9005325,3.335564374923706,-0.04,24.41,23.75,22.0,22.75,23.0,-44.140625,6.3476562,5.7617187,5.859375,78.70528125,200.0,-5.27,[50.0]
21,1644862475.0482402,3.454284906387329,-0.05,24.45,23.5,22.25,22.5,22.5,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,-5.05,[50.0]
22,1644862475.2140028,3.6856720447540283,-0.02,24.48,23.5,22.5,22.75,22.75,-44.3847656,6.3476562,5.7617187,5.859375,78.70528125,200.0,-2.87,[50.0]
