,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644865368.0719943,0.0816335678100586,122.62,23.75,22.5,23.0,29.75,57.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.03
1,1644865368.246927,0.1972062587738037,121.28,23.79,22.75,23.5,30.25,57.25,-44.140625,6.3476562,5.7617187,5.7617187,90.0,50.0,-0.08
2,1644865368.4096675,0.41579365730285645,121.44,23.7,22.25,24.0,30.25,57.0,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,50.0,-0.03
3,1644865368.5760286,0.5286779403686523,122.29,23.7,22.0,23.5,30.0,57.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,-0.05
4,1644865368.74605,0.7475898265838623,121.34,23.67,22.5,23.75,31.0,57.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,-0.08
5,1644865368.9259448,0.9512064456939697,121.88,23.68,22.5,23.5,30.0,57.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,-0.05
6,1644865369.0951357,1.051468849182129,122.06,23.7,22.75,23.5,30.5,57.75,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,50.0,-0.03
7,1644865369.2475882,1.270535945892334,121.52,23.69,22.5,23.0,30.5,57.25,-44.3847656,6.3476562,5.7617187,5.7617187,90.0,50.0,0.05
8,1644865369.4266226,1.3831396102905273,121.91,23.68,22.5,23.25,29.75,58.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,0.0
9,1644865369.589379,1.5990197658538818,121.78,23.72,22.25,23.75,30.0,57.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,-0.05
10,1644865369.7778704,1.8031318187713623,121.25,23.7,22.5,23.25,30.5,58.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.0
11,1644865369.9275036,1.915015459060669,121.16,23.71,22.5,23.75,30.0,57.75,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,50.0,-0.05
12,1644865370.0935726,2.118834972381592,120.51,23.75,22.25,24.0,30.25,57.25,-44.140625,6.3476562,5.6640625,5.7617187,90.0,50.0,0.08
13,1644865370.2593513,2.231220006942749,120.72,23.72,22.5,23.75,30.25,57.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,0.05
14,1644865370.4440625,2.43506121635437,120.66,23.76,22.5,23.25,30.0,58.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,-0.08
15,1644865370.6129138,2.553969383239746,121.68,23.76,22.0,23.5,30.0,58.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,-0.08
16,1644865370.7784405,2.788081407546997,121.65,23.68,22.25,23.75,30.0,58.0,-44.140625,6.3476562,5.6640625,5.7617187,90.0,50.0,0.0
17,1644865370.9442196,2.9004621505737305,120.75,23.69,22.25,23.5,31.0,58.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.08
18,1644865371.113371,3.101107358932495,121.1,23.73,22.25,23.25,29.5,58.5,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,50.0,0.05
19,1644865371.2823207,3.323209047317505,120.54,23.74,22.5,23.5,29.75,57.75,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.08
20,1644865371.4447014,3.436201572418213,120.95,23.71,22.25,23.75,29.5,58.25,-44.140625,6.3476562,5.6640625,5.7617187,90.0,50.0,0.0
21,1644865371.613596,3.554608106613159,120.52,23.77,22.0,23.5,30.0,57.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,0.0
22,1644865371.7803185,3.7719006538391113,121.65,23.71,22.5,23.0,30.25,57.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.0
23,1644865371.961018,4.001906394958496,120.94,23.71,22.0,23.0,30.25,57.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.0
24,1644865372.114275,4.1213929653167725,121.03,23.75,22.0,23.5,30.5,57.5,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,50.0,-0.13
25,1644865372.2926679,4.333556175231934,119.89,23.75,22.0,24.0,30.0,57.0,-44.140625,6.3476562,5.6640625,5.7617187,90.0,50.0,0.16
26,1644865372.4619713,4.437346696853638,121.02,23.71,22.0,23.75,30.25,58.0,-44.3847656,6.3476562,5.7617187,5.859375,90.0,50.0,0.08
27,1644865372.630985,4.671873331069946,120.32,23.75,22.25,23.5,30.5,57.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,-0.03
28,1644865372.79535,4.787285327911377,119.89,23.74,22.5,23.25,30.0,57.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,0.0
29,1644865372.962642,4.987903833389282,120.89,23.71,22.25,23.75,30.5,57.5,-44.3847656,6.3476562,5.5664062,5.859375,90.0,50.0,0.03
