,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current,Desired T_exit
0,1644866144.5465512,0,131.93,23.55,23.25,21.25,29.25,63.0,-43.4082031,6.3476562,5.7617187,6.0546875,90,50.0,0.08,[40.0]
1,1644866144.7312286,0.19396471977233887,132.19,23.5,22.75,22.5,29.25,63.75,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,0.0,[40.0]
2,1644866144.881365,0.2974703311920166,131.19,23.51,23.0,21.5,28.5,63.25,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.16,[40.0]
3,1644866145.0629187,0.5319433212280273,131.24,23.6,24.0,22.0,28.75,63.0,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,0.05,[40.0]
4,1644866145.2331555,0.6476972103118896,131.31,23.51,22.25,22.0,28.25,63.0,-43.1640625,6.3476562,5.7617187,5.9570312,90,50.0,0.13,[40.0]
5,1644866145.3945937,0.8636183738708496,131.64,23.55,23.0,21.75,29.0,63.5,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,0.0,[40.0]
6,1644866145.5595143,0.9667725563049316,131.72,23.53,22.0,22.0,28.75,63.5,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,0.03,[40.0]
7,1644866145.7326026,1.1829993724822998,131.18,23.5,22.25,22.5,29.0,63.5,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,0.05,[40.0]
8,1644866145.8953104,1.2983295917510986,131.54,23.53,22.25,21.75,28.5,63.0,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,-0.05,[40.0]
9,1644866146.0640042,1.5330309867858887,131.14,23.57,22.25,22.5,29.0,63.0,-43.1640625,6.3476562,5.7617187,5.9570312,90,50.0,0.03,[40.0]
10,1644866146.2332144,1.6489653587341309,129.8,23.55,22.25,22.0,29.0,64.5,-43.6523437,6.3476562,5.7617187,6.0546875,90,50.0,-0.05,[40.0]
11,1644866146.405796,1.87481689453125,130.93,23.52,22.0,22.25,29.25,63.5,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.05,[40.0]
12,1644866146.5749683,1.9842989444732666,130.86,23.58,22.25,21.75,29.0,63.25,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.05,[40.0]
13,1644866146.7337644,2.2002768516540527,130.46,23.56,22.0,22.0,28.75,63.0,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.08,[40.0]
14,1644866146.9339902,2.418119192123413,131.15,23.53,22.0,21.5,29.25,63.5,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.0,[40.0]
15,1644866147.0846424,2.5536701679229736,131.52,23.53,21.5,22.25,29.0,63.0,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.0,[40.0]
16,1644866147.252493,2.6663074493408203,131.04,23.49,22.0,22.5,29.0,63.5,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.03,[40.0]
17,1644866147.416431,2.897395372390747,130.41,23.53,21.75,21.5,29.5,63.5,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.03,[40.0]
18,1644866147.5899765,3.0125715732574463,129.64,23.57,22.25,22.0,29.0,62.75,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,0.03,[40.0]
19,1644866147.7549493,3.2552239894866943,130.78,23.52,21.75,22.0,29.0,63.5,-43.6523437,6.3476562,5.7617187,5.9570312,90,50.0,-4.97,[40.0]
20,1644866147.9169745,3.386000633239746,129.15,23.5,22.25,22.0,29.0,63.0,-43.6523437,6.3476562,5.859375,5.9570312,90,50.0,-4.87,[40.0]
21,1644866148.0978537,3.500864028930664,129.34,23.57,22.0,21.75,29.25,63.25,-43.1640625,6.3476562,5.7617187,5.9570312,90,50.0,-0.05,[40.0]
22,1644866148.2668107,3.7358317375183105,130.03,23.49,21.25,21.75,29.0,63.25,-43.1640625,6.3476562,5.7617187,5.9570312,90,50.0,4.65,[40.0]
23,1644866148.4355786,3.8514246940612793,129.21,23.52,21.5,22.5,29.25,63.0,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,5.24,[40.0]
24,1644866148.5912676,4.075918197631836,129.5,23.57,21.75,21.5,28.5,63.5,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,4.73,[40.0]
25,1644866148.770257,4.186052083969116,129.61,23.51,21.25,21.75,28.75,63.5,-43.1640625,6.3476562,5.7617187,5.9570312,90,50.0,1.76,[40.0]
26,1644866148.9359539,4.41709041595459,129.26,23.51,21.75,22.25,29.0,62.5,-43.1640625,6.3476562,5.7617187,5.9570312,90,50.0,-1.06,[40.0]
27,1644866149.1077497,4.536489486694336,129.31,23.54,21.75,22.0,29.0,63.0,-43.1640625,6.3476562,5.7617187,5.9570312,90,50.0,-5.08,[40.0]
28,1644866149.2701118,4.770386457443237,128.88,23.54,21.5,22.25,29.0,63.25,-43.4082031,6.3476562,5.7617187,5.9570312,90,50.0,-4.58,[40.0]
