,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644866399.5493474,0.1002645492553711,101.59,23.58,22.5,23.75,29.0,84.25,-44.3847656,6.4453125,5.6640625,5.859375,90.0,100.0,3.14
1,1644866399.712626,0.2037980556488037,101.41,23.59,22.5,23.25,29.0,84.0,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,100.0,5.0
2,1644866399.8809748,0.4384040832519531,101.7,23.59,22.25,23.25,29.0,84.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,5.08
3,1644866400.0497274,0.5577700138092041,102.0,23.57,22.5,23.25,28.25,84.75,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,100.0,3.96
4,1644866400.2124658,0.6785678863525391,101.55,23.61,22.5,22.25,29.0,84.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,1.09
5,1644866400.385472,0.8857853412628174,102.6,23.51,22.5,24.0,29.0,84.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-1.68
6,1644866400.5661016,1.1053953170776367,101.08,23.59,22.5,23.0,29.0,84.75,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-5.08
7,1644866400.7326267,1.2237987518310547,102.79,23.59,22.25,23.75,29.25,84.0,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,-4.15
8,1644866400.8974686,1.4548978805541992,101.93,23.59,22.5,23.5,28.0,84.5,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,0.19
9,1644866401.0667546,1.5551645755767822,102.07,23.62,22.5,23.5,28.75,84.25,-44.140625,6.25,5.6640625,5.859375,90.0,100.0,3.51
10,1644866401.2332964,1.7592003345489502,102.33,23.59,22.0,21.75,28.75,83.75,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,4.97
11,1644866401.3984823,1.8621461391448975,102.16,23.61,22.25,23.0,28.25,84.25,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,100.0,5.08
12,1644866401.5678074,2.075352191925049,102.47,23.55,22.25,23.75,28.0,83.25,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,3.38
13,1644866401.742102,2.2995312213897705,101.9,23.57,22.25,23.0,28.25,83.75,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.56
14,1644866401.8996584,2.408202886581421,102.21,23.61,22.25,23.5,28.5,84.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-2.31
15,1644866402.108131,2.641735076904297,103.07,23.63,22.75,23.5,28.75,83.75,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-5.16
