,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current,Desired T_exit
0,1644868875.5744164,0.01562952995300293,103.94,23.77,23.25,27.75,52.25,142.25,-44.3847656,6.3476562,5.46875,5.7617187,90,200.0,0.05,[45.0]
1,1644868875.7278056,0.13777422904968262,104.76,23.84,22.75,27.5,52.25,142.5,-44.3847656,6.3476562,5.5664062,5.7617187,65.025,200.0,0.05,[45.0]
2,1644868875.8936324,0.250089168548584,104.75,23.86,22.5,28.5,52.25,142.5,-44.3847656,6.3476562,5.5664062,5.7617187,55.27125000000001,200.0,0.03,[45.0]
3,1644868876.0746436,0.4821004867553711,105.01,23.78,22.75,28.5,52.0,143.0,-44.140625,6.3476562,5.5664062,5.7617187,39.93347812500001,200.0,-0.05,[45.0]
4,1644868876.2373662,0.5969436168670654,102.64,23.86,22.75,28.5,52.0,142.0,-44.3847656,6.3476562,5.5664062,5.7617187,33.94345640625001,200.0,-0.03,[45.0]
5,1644868876.406405,0.8319931030273438,100.99,23.8,23.25,27.5,52.25,142.0,-44.140625,6.25,5.5664062,5.7617187,24.52414725351563,200.0,0.0,[45.0]
6,1644868876.575655,0.9478881359100342,98.18,23.78,22.5,27.75,52.25,142.25,-44.140625,6.3476562,5.46875,5.7617187,20.845525165488283,200.0,0.0,[45.0]
7,1644868876.7573535,1.1829380989074707,89.29,23.79,22.5,28.0,52.0,143.0,-44.140625,6.3476562,5.5664062,5.7617187,15.060891932065285,200.0,0.0,[45.0]
8,1644868876.9270139,1.2983064651489258,82.42,23.83,23.0,27.75,52.0,141.75,-44.3847656,6.3476562,5.5664062,5.7617187,12.801758142255492,200.0,0.05,[45.0]
9,1644868877.0764186,1.417607069015503,54.76,23.8,24.0,27.75,52.25,142.75,-44.3847656,6.3476562,5.5664062,5.7617187,10.881494420917168,200.0,0.03,[45.0]
10,1644868877.2453783,1.637289047241211,33.15,23.87,22.25,29.0,51.75,142.75,-44.140625,6.3476562,5.46875,5.7617187,7.861879719112654,200.0,0.0,[45.0]
11,1644868877.4266403,1.8678534030914307,22.0,23.85,22.75,27.5,52.0,142.0,-44.3847656,6.3476562,5.5664062,5.6640625,6.682597761245756,200.0,0.0,[45.0]
12,1644868877.5957525,1.9806230068206787,1.04,23.86,22.5,28.25,52.0,142.0,-44.140625,6.25,5.5664062,5.7617187,4.828176882500059,200.0,0.05,[45.0]
13,1644868877.7493372,2.1905503273010254,0.06,23.92,22.5,27.75,51.5,141.25,-44.140625,6.3476562,5.46875,5.7617187,4.10395035012505,200.0,-0.03,[45.0]
14,1644868877.9236856,2.318024158477783,-0.05,23.89,22.25,28.0,51.75,143.5,-44.3847656,6.3476562,5.5664062,5.7617187,2.9651041279653487,200.0,0.08,[45.0]
15,1644868878.0926626,2.4336657524108887,-0.04,23.85,21.75,29.5,52.0,143.0,-44.3847656,6.3476562,5.5664062,5.7617187,2.5203385087705463,200.0,0.08,[45.0]
16,1644868878.2592728,2.6536097526550293,-0.04,23.91,23.25,28.0,52.0,142.5,-44.140625,6.3476562,5.46875,5.7617187,1.8209445725867197,200.0,-0.03,[45.0]
17,1644868878.4342046,2.875417709350586,-0.04,23.92,23.25,28.75,52.0,143.0,-44.140625,6.3476562,5.5664062,5.7617187,1.5478028866987117,200.0,0.08,[45.0]
18,1644868878.5977285,2.9974706172943115,-0.04,23.88,23.5,28.25,52.0,142.75,-44.140625,6.3476562,5.5664062,5.859375,1.1182875856398193,200.0,0.08,[45.0]
19,1644868878.7779894,3.118945598602295,-0.04,23.89,22.75,28.0,51.75,142.75,-44.3847656,6.3476562,5.5664062,5.7617187,0.9505444477938465,200.0,-0.03,[45.0]
20,1644868878.941188,3.351156234741211,-0.04,23.89,23.75,27.5,52.0,144.25,-44.3847656,6.3476562,5.5664062,5.7617187,0.6867683635310542,200.0,2.47,[45.0]
21,1644868879.1127355,3.4702744483947754,-0.04,23.89,23.5,28.25,51.75,142.5,-44.140625,6.3476562,5.5664062,5.7617187,0.5837531090013961,200.0,4.76,[45.0]
22,1644868879.2787116,3.700543165206909,-0.04,23.86,23.75,27.75,52.25,143.5,-44.140625,6.1523437,5.46875,5.7617187,0.4217616212535087,200.0,5.13,[45.0]
23,1644868879.4449394,3.8201918601989746,-0.04,23.92,23.25,27.75,52.25,144.5,-44.140625,6.3476562,5.46875,5.7617187,0.3584973780654824,200.0,4.2,[45.0]
24,1644868879.629108,4.039072275161743,-0.04,23.86,22.5,29.25,52.5,143.0,-44.140625,6.3476562,5.5664062,5.7617187,0.259014355652311,200.0,1.25,[45.0]
25,1644868879.7796135,4.15211820602417,-0.04,23.86,22.25,27.0,52.0,142.0,-44.3847656,6.3476562,5.6640625,5.7617187,0.22016220230446437,200.0,-1.65,[45.0]
26,1644868879.9455955,4.386808633804321,-0.04,23.92,23.75,28.5,52.25,142.75,-44.140625,6.3476562,5.5664062,5.859375,0.18713787195879472,200.0,-5.11,[45.0]
27,1644868880.1113658,4.502687931060791,-0.05,23.92,22.0,27.75,51.75,142.25,-44.3847656,6.3476562,5.5664062,5.859375,0.13520711249022918,200.0,-3.99,[45.0]
28,1644868880.280275,4.621440649032593,-0.04,23.92,22.25,27.5,52.0,141.75,-44.140625,6.3476562,5.5664062,5.7617187,0.11492604561669481,200.0,0.82,[45.0]
29,1644868880.4467278,4.856691122055054,-0.04,23.9,21.75,28.0,52.0,143.5,-44.140625,6.25,5.5664062,5.7617187,0.08303406795806201,200.0,3.91,[45.0]
30,1644868880.6183417,4.971624135971069,-0.04,23.84,22.0,29.5,52.5,143.75,-44.140625,6.25,5.5664062,5.7617187,0.0705789577643527,200.0,5.24,[45.0]
31,1644868880.7966678,5.1879918575286865,-0.04,23.86,22.75,27.5,51.5,142.75,-44.140625,6.3476562,5.46875,5.7617187,0.05099329698474483,200.0,4.87,[45.0]
32,1644868880.95937,5.303322792053223,-0.04,23.9,23.5,27.75,52.5,142.25,-44.3847656,6.3476562,5.5664062,5.7617187,0.043344302437033105,200.0,2.55,[45.0]
33,1644868881.1347241,5.538420677185059,-0.05,23.89,22.5,30.0,52.0,142.25,-44.140625,6.3476562,5.5664062,5.7617187,0.031316258510756416,200.0,-0.21,[45.0]
34,1644868881.3017242,5.653989315032959,-0.04,23.79,20.5,26.75,51.0,142.0,-44.140625,6.3476562,5.5664062,5.7617187,0.026618819734142953,200.0,-4.68,[45.0]
35,1644868881.4626968,5.872661352157593,-0.04,23.89,22.0,28.0,50.0,143.0,-44.140625,6.3476562,5.5664062,5.859375,0.019232097257918284,200.0,-4.76,[45.0]
36,1644868881.6344392,5.988405227661133,-0.04,23.89,23.0,26.25,50.0,142.75,-44.140625,6.3476562,5.5664062,5.7617187,0.01634728266923054,200.0,-0.48,[45.0]
37,1644868881.7969677,6.204419136047363,-0.03,23.95,22.0,29.0,48.75,143.25,-44.3847656,6.1523437,5.5664062,5.6640625,0.011810911728519065,200.0,4.2,[45.0]
38,1644868881.9660594,6.322814702987671,-0.04,23.86,22.25,28.25,49.25,142.75,-44.140625,6.3476562,5.5664062,5.7617187,0.010039274969241205,200.0,0.03,[45.0]
39,1644868882.144134,6.55409836769104,-0.05,23.89,22.0,29.25,49.25,143.0,-44.3847656,6.3476562,5.5664062,5.7617187,0.007253376165276771,200.0,0.03,[45.0]
40,1644868882.3166678,6.673335313796997,-0.04,23.87,22.25,28.75,50.0,143.0,-44.140625,6.3476562,5.5664062,5.7617187,0.006165369740485255,200.0,0.05,[45.0]
41,1644868882.488084,6.904623031616211,-0.04,23.89,22.5,26.0,50.75,141.75,-44.3847656,6.3476562,5.5664062,5.7617187,0.0044544796375005965,200.0,0.19,[45.0]
42,1644868882.6473913,7.025231122970581,-0.04,23.83,19.75,26.75,52.25,141.0,-44.140625,6.3476562,5.5664062,5.7617187,0.003786307691875507,200.0,-0.03,[45.0]
43,1644868882.8132434,7.254456520080566,-0.04,23.9,23.0,27.75,52.0,142.75,-44.3847656,6.3476562,5.5664062,5.7617187,0.003218361538094181,200.0,0.03,[45.0]
44,1644868882.982298,7.373637437820435,-0.04,23.87,23.5,27.75,51.25,142.5,-44.3847656,6.3476562,5.5664062,5.5664062,0.002325266211273046,200.0,0.05,[45.0]
45,1644868883.1480837,7.489381313323975,-0.03,23.89,17.75,28.75,50.25,142.75,-44.140625,6.3476562,5.5664062,5.7617187,0.001976476279582089,200.0,0.08,[45.0]
46,1644868883.3137205,7.707543134689331,-0.04,23.84,21.0,29.5,50.25,142.5,-44.3847656,6.3476562,5.5664062,5.7617187,0.0014280041119980591,200.0,0.05,[45.0]
47,1644868883.4823594,7.823535680770874,-0.04,23.88,19.25,28.0,50.25,142.0,-44.140625,6.3476562,5.5664062,5.7617187,0.0012138034951983503,200.0,0.13,[45.0]
48,1644868883.6496933,8.05823278427124,-0.04,23.92,20.25,27.25,51.5,142.0,-44.140625,6.3476562,5.5664062,5.7617187,0.0008769730252808081,200.0,-0.05,[45.0]
49,1644868883.8295388,8.172967672348022,-0.04,23.83,19.5,29.5,51.25,142.25,-44.3847656,6.3476562,5.5664062,5.7617187,0.0007454270714886869,200.0,-0.05,[45.0]
50,1644868883.9982862,8.389109134674072,-0.04,23.93,20.5,27.25,51.25,140.75,-44.140625,6.3476562,5.5664062,5.7617187,0.0005385710591505763,200.0,-0.05,[45.0]
51,1644868884.1675658,8.60526704788208,-0.04,23.92,20.75,27.75,51.5,142.0,-44.140625,6.3476562,5.46875,5.7617187,0.00045778540027798984,200.0,-0.11,[45.0]
52,1644868884.3301475,8.740109920501709,-0.04,23.88,20.5,29.25,51.0,142.25,-44.3847656,6.3476562,5.5664062,5.7617187,0.00033074995170084766,200.0,-0.03,[45.0]
53,1644868884.5018394,8.855888843536377,-0.04,23.91,20.5,27.5,51.0,141.75,-43.8964843,6.3476562,5.5664062,5.7617187,0.0002811374589457205,200.0,0.08,[45.0]
54,1644868884.6645572,9.071460485458374,-0.04,23.9,18.25,29.0,50.75,142.25,-44.140625,6.25,5.5664062,5.7617187,0.00020312181408828307,200.0,0.08,[45.0]
55,1644868884.8464677,9.187406301498413,-0.03,23.88,18.25,30.0,49.75,142.0,-44.140625,6.4453125,5.5664062,5.7617187,0.0001726535419750406,200.0,0.0,[45.0]
56,1644868884.9997869,9.407236576080322,-0.05,23.87,19.25,30.25,49.25,142.25,-44.140625,6.25,5.5664062,5.7617187,0.00012474218407696684,200.0,4.63,[45.0]
57,1644868885.1687565,9.525639295578003,-0.04,23.86,17.75,29.5,50.0,142.25,-44.140625,6.3476562,5.46875,5.7617187,0.00010603085646542182,200.0,1.94,[45.0]
58,1644868885.3471093,9.757073640823364,-0.04,23.82,18.75,28.75,50.0,142.0,-44.3847656,6.3476562,5.5664062,5.7617187,7.660729379626726e-05,200.0,-0.8,[45.0]
59,1644868885.5198076,9.876287460327148,-0.04,23.89,18.75,30.0,49.75,142.0,-44.140625,6.3476562,5.5664062,5.859375,6.511619972682716e-05,200.0,-4.92,[45.0]
60,1644868885.68465,10.10672664642334,-0.04,23.94,18.5,31.5,50.0,141.5,-44.3847656,6.3476562,5.5664062,5.859375,4.7046454302632626e-05,200.0,-4.63,[45.0]
61,1644868885.850875,10.226120710372925,-0.04,23.81,20.0,29.5,50.5,142.25,-44.140625,6.3476562,5.5664062,5.7617187,3.998948615723773e-05,200.0,-0.05,[45.0]
62,1644868886.0163708,10.457583904266357,-0.04,23.89,20.0,31.0,50.0,141.75,-44.140625,6.3476562,5.5664062,5.7617187,3.399106323365207e-05,200.0,4.55,[45.0]
63,1644868886.188635,10.573472499847412,-0.04,23.9,20.25,28.0,50.0,142.25,-44.140625,6.3476562,5.46875,5.7617187,2.4558543186313624e-05,200.0,5.16,[45.0]
64,1644868886.348397,10.789610147476196,-0.03,23.86,21.25,31.5,49.75,142.0,-44.3847656,6.3476562,5.5664062,5.7617187,2.087476170836658e-05,200.0,4.6,[45.0]
65,1644868886.5173395,10.90866756439209,-0.04,23.92,21.0,28.75,49.5,142.5,-44.140625,6.3476562,5.5664062,5.7617187,1.5082015334294854e-05,200.0,1.41,[45.0]
66,1644868886.7018116,11.143024682998657,-0.03,23.9,21.75,27.5,49.5,138.75,-44.140625,6.3476562,5.46875,5.7617187,1.2819713034150626e-05,200.0,-1.25,[45.0]
67,1644868886.886711,11.274532318115234,-0.03,23.89,21.75,27.25,50.0,140.0,-44.140625,6.3476562,5.5664062,5.859375,9.262242667173826e-06,200.0,-5.08,[45.0]
68,1644868887.0338771,11.377826452255249,-0.04,23.95,19.0,29.0,49.25,141.5,-44.140625,6.3476562,5.5664062,5.7617187,7.872906267097752e-06,200.0,-4.31,[45.0]
69,1644868887.20319,11.594013452529907,-0.04,23.92,19.75,30.25,50.0,141.75,-44.140625,6.3476562,5.5664062,5.7617187,5.688174777978126e-06,200.0,0.21,[45.0]
70,1644868887.3690104,11.709096670150757,-0.04,23.88,21.75,28.75,50.0,142.0,-44.140625,6.3476562,5.46875,5.7617187,4.834948561281407e-06,200.0,3.62,[45.0]
71,1644868887.534494,11.944456577301025,-0.04,23.9,22.25,29.75,50.0,141.75,-44.140625,6.3476562,5.46875,5.7617187,3.493250335525816e-06,200.0,5.13,[45.0]
72,1644868887.6986465,12.0602867603302,-0.04,23.87,23.0,29.25,47.75,142.25,-44.140625,6.3476562,5.46875,5.7617187,2.9692627851969437e-06,200.0,4.95,[45.0]
73,1644868887.8720162,12.278971910476685,-0.03,23.92,18.5,31.5,49.5,142.5,-44.140625,6.3476562,5.5664062,5.7617187,2.145292362304792e-06,200.0,3.03,[45.0]
74,1644868888.0347755,12.391356945037842,-0.03,23.92,21.5,28.5,49.25,141.75,-44.140625,6.3476562,5.5664062,5.7617187,1.8234985079590734e-06,200.0,0.27,[45.0]
75,1644868888.2037487,12.629336833953857,-0.03,23.92,17.5,31.25,49.25,140.75,-44.3847656,6.3476562,5.5664062,5.7617187,1.3174776720004305e-06,200.0,0.11,[45.0]
