,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve PositionHeater Power,Heater Current
0,1644003676.7887282,0.0,34.85,0.0,24.65,20.0,24.75,35.5,58.5,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
1,1644003676.9438095,0.0670006275177002,34.83,0.0,24.63,20.0,25.25,34.5,58.0,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
2,1644003677.0968523,0.28207921981811523,34.96,0.0,24.65,20.75,24.75,34.75,58.0,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
3,1644003677.2719104,0.39309167861938477,34.67,0.0,24.61,22.0,25.0,35.75,58.5,-0.4394531,1.3671875,0.0976563,0.0,0.0,0.0
4,1644003677.438908,0.6132566928863525,34.74,0.0,24.58,21.75,25.0,35.75,58.75,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
5,1644003677.6025877,0.7249069213867188,34.8,0.0,24.58,22.25,25.75,36.0,58.25,-0.9277344,0.2929687,0.2929687,0.0,0.0,0.0
6,1644003677.7919195,0.945460319519043,34.86,0.0,24.61,19.25,25.5,36.75,58.25,-0.1953125,0.6835937,0.0,0.0,0.0,0.0
7,1644003677.9369185,1.0551917552947998,34.84,0.0,24.67,18.25,24.0,34.75,58.0,0.2929687,0.5859375,0.0,0.0,0.0,0.0
8,1644003678.105952,1.2751858234405518,34.82,0.0,24.6,20.75,25.0,35.5,58.25,0.2929687,0.5859375,0.0,0.0,0.0,0.0
9,1644003678.2899418,1.490189552307129,34.92,0.0,24.7,20.25,24.75,35.0,58.25,-1.171875,0.5859375,0.0,0.0,0.0,0.0
10,1644003678.4310029,1.6001884937286377,34.74,0.0,24.61,20.5,26.25,36.0,58.25,-1.9042968,0.4882812,0.0,0.0,0.0,0.0
11,1644003678.6072555,1.819540023803711,34.84,0.0,24.63,19.75,24.5,34.25,57.75,0.2929687,0.390625,0.0,0.0,0.0,0.0
12,1644003678.792861,1.9305274486541748,34.82,0.0,24.54,21.0,25.25,35.5,58.25,-0.6835937,0.1953125,0.0,0.0,0.0,0.0
13,1644003678.9328597,2.0391628742218018,34.81,0.0,24.54,19.25,24.75,34.25,57.75,-0.9277344,0.2929687,0.0,0.0,0.0,0.0
14,1644003679.1128674,2.274127244949341,34.89,0.0,24.56,20.0,25.25,36.0,57.75,-0.4394531,0.78125,0.2929687,0.0,0.0,0.0
15,1644003679.2758942,2.4921629428863525,34.85,0.0,24.64,20.5,25.5,36.0,58.25,0.0488281,0.390625,0.0,0.0,0.0,0.0
16,1644003679.455884,2.6001312732696533,34.85,0.0,24.58,22.0,25.0,35.25,57.75,-0.4394531,0.390625,0.0,0.0,0.0,0.0
17,1644003679.6017036,2.817972421646118,34.86,0.0,24.61,19.25,25.75,35.5,57.75,-0.1953125,0.4882812,0.0,0.0,0.0,0.0
18,1644003679.7996948,2.928961753845215,34.81,0.0,24.67,21.0,25.0,35.0,58.5,-0.6835937,0.5859375,0.0,0.0,0.0,0.0
19,1644003679.9467561,3.1610209941864014,34.91,0.0,24.6,19.0,24.5,35.5,58.0,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
20,1644003680.101732,3.2699873447418213,34.94,0.0,24.68,18.75,25.0,36.75,58.25,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
21,1644003680.274723,3.4890053272247314,34.92,0.0,24.68,20.5,25.0,36.75,57.75,-0.4394531,0.6835937,0.0,0.0,0.0,0.0
22,1644003680.4547238,3.590989828109741,34.74,0.0,24.56,20.5,25.25,36.5,58.25,-0.4394531,0.6835937,0.0,0.0,0.0,0.0
23,1644003680.618747,3.7970023155212402,34.81,0.0,24.63,22.5,27.5,35.25,57.75,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
24,1644003680.7727342,3.9179978370666504,34.8,0.0,24.58,20.25,25.0,35.0,58.0,0.78125,0.6835937,0.0,0.0,0.0,0.0
25,1644003680.940874,4.13115668296814,34.78,0.0,24.64,19.0,23.75,35.5,58.25,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
26,1644003681.1888733,4.366145849227905,34.89,0.0,24.65,20.25,25.75,36.0,58.0,-0.6835937,0.5859375,0.1953125,0.0,0.0,0.0
27,1644003681.3058841,4.51715087890625,34.79,0.0,24.59,21.25,26.0,35.0,58.25,-0.4394531,0.1953125,0.0,0.0,0.0,0.0
28,1644003681.4518843,4.6211535930633545,34.79,0.0,24.54,19.5,24.75,36.25,57.75,0.5371094,0.78125,0.0,0.0,0.0,0.0
29,1644003681.6368773,4.835212230682373,34.86,0.0,24.62,18.75,25.0,35.75,58.25,-0.4394531,0.390625,0.0,0.0,0.0,0.0
30,1644003681.8308735,4.973141431808472,34.82,0.0,24.59,21.25,25.75,34.25,58.25,-0.4394531,0.6835937,0.0,0.0,0.0,0.0
31,1644003681.9528778,5.079151630401611,34.85,0.0,24.66,17.75,25.25,35.25,58.25,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
32,1644003682.1138804,5.3001673221588135,34.92,0.0,24.65,19.75,26.5,36.25,57.5,-0.6835937,0.4882812,0.0,0.0,0.0,0.0
33,1644003682.338884,5.546138525009155,34.74,0.0,24.64,21.0,26.5,36.0,58.0,0.0488281,0.8789063,0.0976563,0.0,0.0,0.0
34,1644003682.4470642,5.546138525009155,34.79,0.0,24.61,20.75,26.0,35.5,58.0,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
35,1644003682.6158714,5.728151798248291,34.83,0.0,24.63,20.5,25.5,35.0,57.75,0.0488281,0.5859375,0.0,0.0,0.0,0.0
36,1644003682.7708755,5.95513916015625,34.82,0.0,24.67,21.5,24.75,35.0,58.25,-0.4394531,0.2929687,0.0976563,0.0,0.0,0.0
37,1644003682.958873,6.169140100479126,34.91,0.0,24.62,20.75,25.5,34.25,58.25,-0.4394531,1.0742187,0.0,0.0,0.0,0.0
38,1644003683.1048965,6.284140110015869,34.74,0.0,24.6,21.5,25.75,36.0,58.0,-0.4394531,0.0,0.4882812,0.0,0.0,0.0
39,1644003683.2848659,6.39913272857666,34.81,0.0,24.6,21.0,25.75,34.25,57.5,-0.4394531,0.6835937,0.0,0.0,0.0,0.0
40,1644003683.4558675,6.619160413742065,34.84,0.0,24.61,21.0,25.25,35.0,58.5,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
41,1644003683.6098764,6.744132995605469,34.79,0.0,24.58,20.25,25.25,35.75,58.0,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
42,1644003683.7797112,6.976977348327637,34.75,0.0,24.64,20.5,25.0,35.25,58.5,-0.4394531,0.78125,0.0,0.0,0.0,0.0
43,1644003683.9581203,7.088392734527588,34.77,0.0,24.57,19.5,25.75,33.5,57.75,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
44,1644003684.1207972,7.307037115097046,34.79,0.0,24.61,18.0,25.5,34.5,58.25,-0.4394531,0.78125,0.0,0.0,0.0,0.0
45,1644003684.2827792,7.416040658950806,34.73,0.0,24.68,19.75,26.0,35.5,58.0,-0.4394531,0.2929687,0.0,0.0,0.0,0.0
46,1644003684.4608932,7.636277198791504,34.72,0.0,24.61,20.75,26.25,35.5,58.0,-0.4394531,0.1953125,0.0,0.0,0.0,0.0
47,1644003684.6079223,7.745162487030029,34.75,0.0,24.62,20.75,25.75,35.5,58.5,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
48,1644003684.7799053,7.965242147445679,34.76,0.0,24.58,21.5,24.5,35.5,58.75,1.2695312,0.6835937,0.0,0.0,0.0,0.0
49,1644003684.9618962,8.075162887573242,34.79,0.0,24.6,18.75,24.75,34.0,58.5,-0.1953125,0.5859375,0.0,0.0,0.0,0.0
50,1644003685.1137712,8.298975944519043,34.81,0.0,24.61,20.25,25.75,34.75,57.75,-0.4394531,0.6835937,0.0,0.0,0.0,0.0
51,1644003685.286793,8.409061908721924,34.92,0.0,24.62,20.25,25.25,35.0,57.75,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
52,1644003685.4447799,8.62904977798462,34.84,0.0,24.64,20.75,25.5,35.0,58.0,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
53,1644003685.7067883,8.859071493148804,34.76,0.0,24.6,20.25,24.5,35.5,58.0,0.2929687,0.4882812,0.0,0.0,0.0,0.0
54,1644003685.833347,9.008615493774414,34.81,0.0,24.55,21.25,24.75,35.25,57.75,-0.4394531,0.2929687,0.0,0.0,0.0,0.0
55,1644003685.9623494,9.117655515670776,34.81,0.0,24.56,19.75,25.0,33.5,58.25,-0.6835937,0.2929687,0.0,0.0,0.0,0.0
56,1644003686.1170647,9.243610620498657,34.66,0.0,24.65,18.0,24.5,33.0,58.5,-3.6132812,0.6835937,0.0,0.0,0.0,0.0
57,1644003686.3377864,9.472331047058105,34.79,0.0,24.62,21.5,26.0,35.25,58.25,-0.4394531,0.2929687,0.0,0.0,0.0,0.0
58,1644003686.5107815,9.703048944473267,34.76,0.0,24.59,19.25,25.5,35.25,57.5,-0.4394531,0.390625,0.0,0.0,0.0,0.0
59,1644003686.628785,9.811059474945068,34.92,0.0,24.61,22.0,26.0,35.25,57.75,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
60,1644003686.888897,10.060162544250488,34.8,0.0,24.54,22.0,27.0,35.5,58.5,-0.4394531,0.2929687,0.0,0.0,0.0,0.0
61,1644003686.9848938,10.200159549713135,34.82,0.0,24.6,17.75,24.75,37.0,58.25,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
62,1644003687.1198926,10.330157279968262,34.68,0.0,24.57,19.25,25.0,34.0,58.25,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
63,1644003687.3308938,10.445154905319214,34.86,0.0,24.6,20.0,25.75,34.75,57.5,-0.4394531,0.5859375,0.0,0.0,0.0,0.0
64,1644003687.4948862,10.69717526435852,34.66,0.0,24.59,21.0,25.75,35.0,58.0,-0.4394531,0.390625,0.0,0.0,0.0,0.0
65,1644003687.6298807,10.831177711486816,34.8,0.0,24.55,21.75,25.5,35.0,58.25,-0.4394531,0.6835937,0.0,0.0,0.0,0.0
66,1644003687.7848916,10.939145565032959,34.82,0.0,24.6,21.75,24.25,33.25,58.5,-0.1953125,0.5859375,0.0976563,0.0,0.0,0.0
67,1644003687.9658892,11.158150672912598,34.64,0.0,24.62,21.0,25.25,32.75,57.75,-0.6835937,0.4882812,0.0,0.0,0.0,0.0
68,1644003688.1337087,11.283971786499023,34.77,0.0,24.56,21.25,24.25,33.5,58.25,-0.4394531,0.4882812,0.0976563,0.0,0.0,0.0
69,1644003688.2867107,11.502979516983032,34.76,0.0,24.6,20.75,25.25,34.5,58.0,-0.4394531,0.6835937,0.0976563,0.0,0.0,0.0
70,1644003688.4667032,11.612974405288696,34.73,0.0,24.57,19.75,26.5,35.5,58.0,-1.6601562,0.2929687,0.0,0.0,0.0,0.0
71,1644003688.633706,11.834977865219116,34.77,0.0,24.67,20.75,25.75,36.75,58.5,-0.1953125,0.5859375,0.0,0.0,0.0,0.0
72,1644003688.7957156,11.944985389709473,34.85,0.0,24.58,22.0,24.75,36.75,58.25,-0.4394531,0.390625,0.1953125,0.0,0.0,0.0
73,1644003688.9807098,12.147986650466919,34.75,0.0,24.6,21.0,25.25,35.25,58.25,-0.4394531,0.0,0.2929687,0.0,0.0,0.0
74,1644003689.1237035,12.26198697090149,34.81,0.0,24.6,17.75,25.25,35.5,57.75,-0.4394531,0.4882812,0.0,0.0,0.0,0.0
75,1644003689.2977293,12.481998682022095,34.84,0.0,24.6,21.0,25.25,36.5,58.25,-0.4394531,0.6835937,0.0,0.0,0.0,0.0
