,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve PositionHeater Power,Heater Current
0,1644261132.905488,0.08130741119384766,15.98,0.0,24.56,21.25,21.75,22.25,22.5,-0.9277344,0.390625,0.0,0.0,0.0,0.0
1,1644261133.080634,0.2988741397857666,16.02,0.0,24.64,21.5,22.0,22.25,23.25,-0.9277344,0.0,0.0,0.0,0.0,0.0
2,1644261133.2336342,0.40840721130371094,15.99,0.0,24.57,22.0,22.0,22.5,22.75,-0.9277344,0.0,0.1953125,0.0,0.0,0.0
3,1644261133.4073007,0.6300661563873291,15.99,0.0,24.58,21.5,21.5,21.75,23.0,-0.9277344,0.2929687,0.0976563,0.0,0.0,0.0
4,1644261133.5831845,0.7386777400970459,16.04,0.0,24.61,21.75,22.25,22.5,23.25,-1.171875,0.2929687,0.0,0.0,0.0,0.0
5,1644261133.7323987,0.9556775093078613,16.04,0.0,24.57,21.75,21.75,21.5,23.25,-0.9277344,0.0,0.0976563,0.0,0.0,0.0
6,1644261133.9026701,1.0633537769317627,16.09,0.0,24.56,21.25,22.0,21.5,22.5,-0.9277344,0.2929687,0.0,0.0,0.0,0.0
7,1644261134.0776715,1.2827613353729248,15.96,0.0,24.6,21.25,22.0,21.5,23.0,-0.6835937,0.4882812,0.0,0.0,0.0,0.0
8,1644261134.2353969,1.392319917678833,16.11,0.0,24.58,21.25,21.5,21.5,23.0,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
9,1644261134.4030266,1.6100869178771973,16.03,0.0,24.62,21.75,22.25,23.0,23.75,-0.9277344,0.1953125,0.0976563,0.0,0.0,0.0
10,1644261134.587867,1.8261001110076904,16.0,0.0,24.58,21.75,22.0,22.25,23.25,-0.9277344,0.0976563,0.0976563,0.0,0.0,0.0
11,1644261134.751429,1.9347827434539795,16.0,0.0,24.56,21.25,21.75,22.0,23.25,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
12,1644261134.8996508,2.044207811355591,16.05,0.0,24.61,22.0,21.75,21.75,23.0,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
13,1644261135.087584,2.2634902000427246,16.02,0.0,24.58,21.0,22.0,22.75,23.0,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
14,1644261135.2548888,2.483149766921997,16.01,0.0,24.56,21.25,22.25,21.75,23.75,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
15,1644261135.4028883,2.6101553440093994,16.1,0.0,24.57,21.5,22.25,21.5,23.25,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
16,1644261135.57566,2.719041109085083,16.02,0.0,24.57,22.0,22.0,21.5,23.25,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
17,1644261135.7311645,2.938248872756958,16.04,0.0,24.62,21.5,22.0,21.25,23.25,-1.171875,0.1953125,0.0,0.0,0.0,0.0
18,1644261135.9083393,3.047555446624756,16.09,0.0,24.56,21.25,21.75,22.25,23.0,-0.9277344,0.0,0.0,0.0,0.0,0.0
19,1644261136.0767422,3.2668230533599854,16.04,0.0,24.6,21.25,22.0,23.5,24.0,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
20,1644261136.2330325,3.377255916595459,16.08,0.0,24.6,21.5,22.0,23.0,22.5,-0.9277344,0.390625,0.0,0.0,0.0,0.0
21,1644261136.4133956,3.5965521335601807,15.99,0.0,24.58,22.0,21.5,22.5,22.75,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
22,1644261136.575442,3.8136751651763916,16.04,0.0,24.61,21.75,21.75,21.5,22.5,-0.9277344,0.0,0.0,0.0,0.0,0.0
23,1644261136.7315958,3.9226224422454834,16.02,0.0,24.54,22.0,22.0,21.75,23.5,-0.9277344,0.390625,0.0,0.0,0.0,0.0
24,1644261136.902575,4.14080810546875,16.06,0.0,24.54,21.75,21.75,21.75,22.5,-0.6835937,0.2929687,0.0,0.0,0.0,0.0
25,1644261137.0804834,4.249914169311523,16.01,0.0,24.62,21.75,22.75,21.75,23.0,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
26,1644261137.230769,4.46900200843811,16.04,0.0,24.54,22.5,21.5,23.5,23.25,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
27,1644261137.4018633,4.578484773635864,16.04,0.0,24.58,22.0,22.0,22.0,22.75,-0.9277344,0.2929687,0.0,0.0,0.0,0.0
28,1644261137.5742748,4.795549154281616,16.02,0.0,24.56,21.75,22.0,21.75,23.0,-0.9277344,0.0,0.0,0.0,0.0,0.0
29,1644261137.73241,4.905227184295654,16.01,0.0,24.56,22.0,21.5,22.5,23.25,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
30,1644261137.898602,5.12133526802063,16.13,0.0,24.6,21.5,22.5,22.25,22.75,-0.9277344,0.0,0.0,0.0,0.0,0.0
31,1644261138.069483,5.230804443359375,16.04,0.0,24.53,21.0,22.0,21.25,23.5,-0.9277344,0.0,0.0,0.0,0.0,0.0
32,1644261138.226542,5.448782920837402,16.04,0.0,24.6,22.0,21.5,22.0,24.25,-0.9277344,0.390625,0.0,0.0,0.0,0.0
33,1644261138.402306,5.558451890945435,15.98,0.0,24.64,21.5,21.75,22.5,23.5,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
34,1644261138.5706582,5.777847528457642,16.02,0.0,24.6,21.5,22.25,22.0,22.75,-0.9277344,0.0,0.0,0.0,0.0,0.0
35,1644261138.7279809,5.887242078781128,16.08,0.0,24.56,21.5,21.75,21.75,23.75,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
36,1644261138.9060676,6.107868194580078,16.04,0.0,24.6,21.5,22.25,21.25,23.75,-0.9277344,0.2929687,0.0,0.0,0.0,0.0
37,1644261139.0744472,6.217775583267212,16.13,0.0,24.6,21.25,22.25,22.0,23.75,-0.9277344,0.2929687,0.0,0.0,0.0,0.0
38,1644261139.2313454,6.4386279582977295,16.09,0.0,24.57,21.5,21.75,21.25,22.75,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
39,1644261139.4097908,6.54762601852417,16.08,0.0,24.68,21.5,21.75,22.5,24.25,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
40,1644261139.5651193,6.769273519515991,16.05,0.0,24.55,21.75,21.5,21.5,24.0,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
41,1644261139.7365363,6.879770278930664,16.02,0.0,24.6,21.25,21.75,21.75,22.75,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
42,1644261139.8935406,7.100817918777466,16.12,0.0,24.6,21.5,21.5,23.0,24.25,-0.9277344,0.2929687,0.0,0.0,0.0,0.0
43,1644261140.0772169,7.210449934005737,16.05,0.0,24.57,21.75,21.75,23.25,24.5,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
44,1644261140.2361,7.427255392074585,16.04,0.0,24.64,21.5,22.0,22.0,24.5,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
45,1644261140.3926628,7.536761283874512,16.1,0.0,24.63,21.75,21.25,22.25,24.25,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
46,1644261140.578676,7.757896423339844,16.15,0.0,24.58,21.25,21.75,22.25,23.25,-0.9277344,0.0,0.0,0.0,0.0,0.0
47,1644261140.7383838,7.976616859436035,16.05,0.0,24.61,21.75,22.0,21.75,23.75,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
48,1644261140.8994527,8.086678266525269,16.04,0.0,24.61,22.0,21.75,23.5,24.0,-0.9277344,0.1953125,0.0,0.0,0.0,0.0
49,1644261141.0684776,8.306710720062256,16.06,0.0,24.6,21.5,21.75,23.5,23.0,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
50,1644261141.2287006,8.415972709655762,16.1,0.0,24.59,21.75,22.0,22.0,22.75,-0.9277344,0.0,0.0,0.0,0.0,0.0
51,1644261141.399462,8.634730100631714,16.05,0.0,24.56,21.5,22.0,22.0,22.5,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
52,1644261141.56673,8.74296259880066,16.05,0.0,24.54,21.5,22.0,23.5,22.75,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
53,1644261141.7424,8.959633111953735,16.14,0.0,24.62,21.0,21.5,23.25,23.25,-0.9277344,0.0,0.0,0.0,0.0,0.0
54,1644261141.8994002,9.069632768630981,16.13,0.0,24.62,22.0,22.0,21.75,24.25,-0.9277344,0.0,0.0,0.0,0.0,0.0
55,1644261142.0672405,9.289475440979004,16.08,0.0,24.59,21.25,22.0,22.75,22.5,-0.9277344,0.390625,0.0,0.0,0.0,0.0
56,1644261142.2240548,9.399475574493408,16.14,0.0,24.6,22.0,22.0,21.75,23.25,-0.9277344,0.0976563,0.0,0.0,0.0,0.0
