,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644432308.80152,0.07605481147766113,100.2,0.0,25.43,24.25,23.0,23.5,22.5,9.0820312,9.6679687,6.0546875,0.0,0.0,0.0,0.03
1,1644432308.9794648,0.18800568580627441,101.05,0.0,25.54,24.0,23.0,23.25,22.75,9.0820312,9.8632812,6.0546875,0.0,0.0,0.0,0.0
2,1644432309.1491313,0.4085214138031006,102.19,0.0,25.47,25.0,23.0,23.0,22.25,9.0820312,9.6679687,6.1523437,0.0,0.0,0.0,0.05
3,1644432309.3115394,0.5190727710723877,100.7,0.0,25.5,24.5,23.0,22.75,23.0,9.0820312,9.8632812,6.3476562,0.0,0.0,0.0,-0.03
4,1644432309.4827106,0.7381954193115234,101.63,0.0,25.48,25.0,23.25,23.25,23.0,9.0820312,9.6679687,6.1523437,0.0,0.0,0.0,0.16
5,1644432309.6357844,0.8467788696289062,101.48,0.0,25.5,23.75,23.75,22.25,22.75,9.0820312,9.6679687,6.3476562,0.0,0.0,0.0,-0.08
6,1644432309.806744,1.0657429695129395,100.29,0.0,25.46,23.75,22.5,23.0,22.25,9.0820312,9.9609375,6.3476562,0.0,0.0,0.0,0.05
7,1644432309.9843497,1.1753759384155273,101.43,0.0,25.42,23.75,23.25,22.25,23.25,9.0820312,9.765625,6.4453125,0.0,0.0,0.0,-0.16
8,1644432310.1364214,1.3949620723724365,100.68,0.0,25.46,23.75,22.75,23.0,23.5,9.0820312,9.765625,6.3476562,0.0,0.0,0.0,0.0
9,1644432310.3099701,1.5041964054107666,101.61,0.0,25.46,24.0,22.25,23.0,23.0,8.8378906,9.8632812,6.3476562,0.0,0.0,0.0,-0.05
10,1644432310.4676135,1.7251307964324951,100.93,0.0,25.48,24.5,23.25,22.25,23.75,9.0820312,10.0585937,6.1523437,0.0,0.0,0.0,0.0
11,1644432310.639873,1.8346171379089355,101.29,0.0,25.52,24.5,23.75,22.75,22.5,9.3261718,9.8632812,6.25,0.0,0.0,0.0,-0.05
12,1644432310.8081262,2.0511014461517334,100.85,0.0,25.43,25.0,23.0,22.5,22.75,9.3261718,9.765625,6.25,0.0,0.0,0.0,0.0
13,1644432310.9828107,2.1626577377319336,101.26,0.0,25.43,24.5,23.0,23.0,22.5,9.3261718,9.9609375,6.4453125,0.0,0.0,0.0,-0.03
14,1644432311.142156,2.3814659118652344,101.36,0.0,25.44,24.25,22.25,22.75,22.75,9.0820312,9.6679687,6.4453125,0.0,0.0,0.0,0.11
15,1644432311.3096132,2.4911928176879883,101.54,0.0,25.54,24.5,23.75,22.0,23.75,9.3261718,9.6679687,6.25,0.0,0.0,0.0,0.0
16,1644432311.4673698,2.710709571838379,101.19,0.0,25.54,24.75,23.5,24.0,23.5,9.0820312,9.765625,6.4453125,0.0,0.0,0.0,0.03
17,1644432311.6419861,2.8197922706604004,101.31,0.0,25.5,24.5,22.75,22.0,23.75,9.0820312,9.9609375,6.1523437,0.0,0.0,0.0,0.0
18,1644432311.8101735,3.0379891395568848,100.86,0.0,25.53,25.25,23.5,24.75,23.0,9.0820312,9.9609375,6.1523437,0.0,0.0,0.0,0.08
19,1644432311.9663773,3.147585868835449,100.49,0.0,25.46,24.25,24.0,22.5,23.25,9.3261718,9.6679687,5.9570312,0.0,0.0,0.0,0.0
20,1644432312.1366875,3.3645102977752686,100.35,0.0,25.52,24.0,22.75,24.25,23.25,9.0820312,9.8632812,6.0546875,0.0,0.0,0.0,0.03
21,1644432312.3160782,3.5826618671417236,100.83,0.0,25.46,24.75,23.5,22.25,23.75,9.3261718,9.8632812,6.3476562,0.0,0.0,0.0,-0.13
22,1644432312.4815116,3.708592176437378,100.71,0.0,25.46,24.5,23.75,24.75,22.5,9.0820312,9.8632812,6.0546875,0.0,0.0,0.0,-0.05
23,1644432312.6369789,3.8171653747558594,100.81,0.0,25.51,24.75,22.5,22.5,22.25,9.0820312,9.9609375,6.25,0.0,0.0,0.0,-0.03
24,1644432312.8135374,4.036870241165161,100.12,0.0,25.46,24.5,24.0,23.5,22.25,9.0820312,9.765625,6.0546875,0.0,0.0,0.0,-0.05
25,1644432312.965947,4.14609956741333,101.34,0.0,25.5,24.5,23.5,22.0,23.5,9.3261718,9.765625,6.1523437,0.0,0.0,0.0,0.0
26,1644432313.1403325,4.367418050765991,100.43,0.0,25.51,24.5,23.75,22.75,22.75,9.0820312,9.6679687,6.25,0.0,0.0,0.0,0.05
27,1644432313.3194342,4.585017919540405,100.86,0.0,25.45,24.75,23.25,24.5,22.5,9.0820312,9.8632812,6.1523437,0.0,0.0,0.0,0.0
28,1644432313.4666429,4.710067510604858,101.53,0.0,25.47,24.25,22.75,23.5,23.25,9.0820312,9.765625,6.25,0.0,0.0,0.0,0.03
29,1644432313.6377413,4.8197877407073975,100.68,0.0,25.53,24.0,23.75,22.0,22.75,9.0820312,9.765625,6.1523437,0.0,0.0,0.0,-0.03
30,1644432313.8210967,5.037664413452148,101.07,0.0,25.44,24.5,24.0,23.25,23.0,9.0820312,9.765625,6.25,0.0,0.0,0.0,-0.03
31,1644432313.965265,5.1473164558410645,100.99,0.0,25.43,24.75,23.25,23.5,23.0,9.0820312,9.8632812,6.25,0.0,0.0,0.0,0.16
32,1644432314.1357963,5.364243745803833,100.85,0.0,25.54,24.25,22.75,23.5,24.0,9.0820312,9.765625,6.25,0.0,0.0,0.0,0.11
33,1644432314.3095405,5.5831074714660645,101.72,0.0,25.42,23.75,22.75,24.25,22.5,9.0820312,9.6679687,6.1523437,0.0,0.0,0.0,-0.11
34,1644432314.470466,5.691713333129883,101.17,0.0,25.5,24.0,23.75,23.5,22.75,9.0820312,9.8632812,6.1523437,0.0,0.0,0.0,0.03
35,1644432314.6347845,5.909319162368774,101.78,0.0,25.46,24.25,23.5,22.5,23.5,9.0820312,9.9609375,6.1523437,0.0,0.0,0.0,0.08
36,1644432314.808406,6.019874572753906,99.82,0.0,25.48,24.0,23.5,24.25,23.25,9.0820312,9.765625,6.1523437,0.0,0.0,0.0,0.13
37,1644432314.9699697,6.240517616271973,100.75,0.0,25.5,23.75,22.5,22.0,23.25,9.0820312,9.8632812,6.25,0.0,0.0,0.0,0.03
38,1644432315.1410735,6.351251602172852,100.99,0.0,25.48,24.0,22.5,22.5,22.75,9.0820312,9.8632812,6.1523437,0.0,0.0,0.0,0.11
39,1644432315.2978768,6.57241153717041,101.7,0.0,25.52,23.5,23.25,24.25,23.25,9.0820312,9.8632812,6.25,0.0,0.0,0.0,0.13
40,1644432315.4732366,6.682056427001953,100.21,0.0,25.46,24.25,22.75,22.75,22.0,9.0820312,9.5703125,5.9570312,0.0,0.0,0.0,0.05
41,1644432315.641859,6.900338172912598,101.41,0.0,25.4,24.5,23.5,23.0,22.75,9.0820312,9.8632812,6.25,0.0,0.0,0.0,-0.03
42,1644432315.7973855,7.0088372230529785,101.62,0.0,25.45,24.5,23.25,22.25,22.5,9.0820312,9.8632812,6.3476562,0.0,0.0,0.0,0.11
43,1644432315.980751,7.230275392532349,100.08,0.0,25.47,24.0,23.0,24.25,23.25,9.0820312,9.765625,6.3476562,0.0,0.0,0.0,0.05
44,1644432316.128021,7.338273286819458,100.88,0.0,25.45,24.75,23.75,22.0,22.5,9.3261718,9.6679687,6.1523437,0.0,0.0,0.0,0.11
45,1644432316.3021593,7.560963869094849,102.17,0.0,25.46,25.0,24.25,22.25,22.25,9.0820312,9.6679687,6.1523437,0.0,0.0,0.0,-0.05
46,1644432316.4818113,7.671982288360596,102.05,0.0,25.51,23.75,23.5,24.0,23.25,9.0820312,10.0585937,6.1523437,0.0,0.0,0.0,0.03
47,1644432316.6356626,7.890233993530273,100.75,0.0,25.44,24.75,22.75,23.25,22.0,9.0820312,9.765625,6.0546875,0.0,0.0,0.0,0.03
48,1644432316.8037708,8.001185894012451,102.09,0.0,25.53,24.0,22.5,22.25,23.0,9.0820312,9.4726562,6.1523437,0.0,0.0,0.0,0.03
49,1644432316.960642,8.219189643859863,101.22,0.0,25.51,24.5,23.25,23.25,22.25,9.3261718,9.9609375,6.3476562,0.0,0.0,0.0,0.11
50,1644432317.1407444,8.32936692237854,101.28,0.0,25.48,25.25,23.75,23.0,23.75,9.0820312,9.765625,6.3476562,0.0,0.0,0.0,0.03
51,1644432317.3052022,8.548967838287354,101.32,0.0,25.48,24.75,23.5,23.0,23.5,9.0820312,9.6679687,6.4453125,0.0,0.0,0.0,-0.03
52,1644432317.4613373,8.656868934631348,101.19,0.0,25.45,24.0,23.5,22.0,23.5,9.0820312,9.8632812,6.3476562,0.0,0.0,0.0,0.03
53,1644432317.6374314,8.877132892608643,100.65,0.0,25.5,24.5,23.5,22.25,23.0,9.0820312,9.765625,6.0546875,0.0,0.0,0.0,0.03
54,1644432317.8107364,8.988121747970581,101.56,0.0,25.47,24.0,22.75,23.0,24.0,9.0820312,9.9609375,6.1523437,0.0,0.0,0.0,-0.05
55,1644432317.963706,9.206291437149048,101.34,0.0,25.5,24.25,22.5,22.75,22.5,9.0820312,9.9609375,6.3476562,0.0,0.0,0.0,0.08
56,1644432318.1392024,9.317196130752563,100.95,0.0,25.5,24.25,23.25,22.25,23.75,9.3261718,9.8632812,6.1523437,0.0,0.0,0.0,0.03
57,1644432318.3159084,9.536256790161133,100.31,0.0,25.45,25.0,23.75,23.25,23.0,9.0820312,9.765625,6.1523437,0.0,0.0,0.0,-0.08
58,1644432318.4668376,9.647456407546997,101.28,0.0,25.47,23.75,22.75,21.75,23.25,9.0820312,9.6679687,6.1523437,0.0,0.0,0.0,0.08
59,1644432318.6445556,9.86766791343689,100.81,0.0,25.43,24.75,23.0,22.0,22.75,9.0820312,9.8632812,6.3476562,0.0,0.0,0.0,0.0
60,1644432318.7967603,9.97738242149353,101.58,0.0,25.45,24.0,23.0,22.0,23.0,9.0820312,9.8632812,6.25,0.0,0.0,0.0,0.03
61,1644432318.9721506,10.197081804275513,101.24,0.0,25.5,24.25,23.25,22.25,23.0,9.0820312,10.0585937,6.1523437,0.0,0.0,0.0,0.05
62,1644432319.125418,10.305986404418945,101.08,0.0,25.44,24.75,23.5,22.75,22.75,9.3261718,9.8632812,6.4453125,0.0,0.0,0.0,0.03
63,1644432319.2986963,10.52589750289917,101.31,0.0,25.49,25.0,24.0,23.0,23.0,9.0820312,9.8632812,6.1523437,0.0,0.0,0.0,0.0
64,1644432319.4777784,10.747270107269287,101.94,0.0,25.44,24.5,23.25,23.0,22.0,9.0820312,9.8632812,6.3476562,0.0,0.0,0.0,0.11
65,1644432319.628944,10.873317956924438,101.05,0.0,25.52,24.75,23.25,22.0,22.25,9.0820312,9.765625,6.3476562,0.0,0.0,0.0,0.05
66,1644432319.8013532,10.981687545776367,100.85,0.0,25.45,24.75,23.5,23.0,22.25,9.0820312,9.6679687,5.859375,0.0,0.0,0.0,0.03
67,1644432319.95773,11.201096296310425,100.42,0.0,25.56,24.0,24.0,22.75,22.75,9.0820312,9.765625,6.0546875,0.0,0.0,0.0,0.03
68,1644432320.135195,11.31115198135376,100.79,0.0,25.44,24.0,24.25,23.25,22.25,9.0820312,9.765625,6.3476562,0.0,0.0,0.0,-0.05
69,1644432320.301792,11.53046989440918,100.81,0.0,25.42,25.0,23.25,23.25,23.25,9.0820312,9.5703125,6.3476562,0.0,0.0,0.0,0.0
70,1644432320.4585655,11.639011859893799,101.39,0.0,25.52,24.0,23.75,22.75,23.75,9.0820312,9.765625,6.25,0.0,0.0,0.0,-0.05
71,1644432320.6298022,11.858235359191895,101.28,0.0,25.54,25.0,22.75,22.0,23.75,9.0820312,10.0585937,6.25,0.0,0.0,0.0,0.08
72,1644432320.8046436,12.074221849441528,100.96,0.0,25.46,24.0,22.75,22.75,22.75,9.3261718,9.6679687,6.4453125,0.0,0.0,0.0,0.05
73,1644432320.956004,12.199140071868896,100.89,0.0,25.47,24.0,23.0,23.0,23.0,9.0820312,9.8632812,5.859375,0.0,0.0,0.0,-0.03
74,1644432321.125778,12.30751347541809,101.4,0.0,25.45,24.5,23.25,24.25,22.5,9.0820312,9.765625,6.0546875,0.0,0.0,0.0,-0.03
75,1644432321.2979658,12.525084972381592,101.81,0.0,25.49,24.0,23.0,22.25,23.5,9.0820312,9.765625,6.0546875,0.0,0.0,0.0,0.03
76,1644432321.4752562,12.74578309059143,100.47,0.0,25.52,24.5,23.5,22.5,22.5,9.3261718,9.5703125,6.1523437,0.0,0.0,0.0,-0.05
77,1644432321.6265192,12.869969606399536,100.31,0.0,25.54,24.5,22.25,23.0,23.5,9.0820312,9.5703125,6.25,0.0,0.0,0.0,0.0
78,1644432321.7960565,12.978686571121216,100.69,0.0,25.46,24.5,23.5,22.5,23.25,9.0820312,9.6679687,6.3476562,0.0,0.0,0.0,0.11
79,1644432321.9776938,13.197031021118164,100.91,0.0,25.46,24.25,23.25,23.0,22.75,9.0820312,9.5703125,6.1523437,0.0,0.0,0.0,0.05
80,1644432322.125049,13.307154178619385,101.08,0.0,25.51,24.5,23.5,23.5,23.75,9.0820312,9.9609375,6.25,0.0,0.0,0.0,0.0
81,1644432322.2973318,13.525208473205566,100.53,0.0,25.43,24.75,22.5,22.5,23.0,9.0820312,9.6679687,6.1523437,0.0,0.0,0.0,0.0
