,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Pressure,Valve Position
0,1638820352.0823493,0.32,24.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1,1638820352.210366,0.32,24.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2,1638820352.3543334,127.32,24.71,0.0,0.0,0.0,0.0,0.0,0.0,0.2929687,0.75
3,1638820352.4983335,263.52,24.57,0.0,0.0,0.0,0.0,0.0,0.0,0.4882812,1.0
4,1638820352.6273448,49.03,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
5,1638820352.766336,37.19,24.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75
6,1638820352.9073687,35.69,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,1638820353.0463674,35.45,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
8,1638820353.184375,35.42,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
9,1638820353.3123348,35.31,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10,1638820353.455351,35.34,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25
11,1638820353.5953329,35.35,24.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
12,1638820353.7223694,35.3,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
13,1638820353.8663335,35.51,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25
14,1638820354.0103636,35.4,24.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
15,1638820354.136333,35.36,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75
16,1638820354.278334,35.48,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
17,1638820354.4183326,35.34,24.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
18,1638820354.5463343,35.34,24.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75
19,1638820354.688332,35.25,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
20,1638820354.8303711,35.29,24.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
21,1638820354.975385,35.31,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75
22,1638820355.1023743,35.22,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
23,1638820355.245334,35.36,24.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
