SFM driver version: 0.1.3
product: 0x4020611 serial: 0x0000796A337A
Flow:0.20	Temperature:25.45	Status: 13FF
Flow:0.21	Temperature:25.46	Status: 13FF
Flow:0.21	Temperature:25.46	Status: 13FF
Flow:0.22	Temperature:25.50	Status: 13FF
Flow:0.21	Temperature:25.55	Status: 13FF
Flow:0.21	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.50	Status: 13FF
Flow:0.22	Temperature:25.57	Status: 13FF
Flow:0.22	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.50	Status: 13FF
Flow:0.22	Temperature:25.51	Status: 13FF
Flow:0.21	Temperature:25.47	Status: 13FF
Flow:0.22	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.57	Status: 13FF
Flow:0.21	Temperature:25.61	Status: 13FF
Flow:0.21	Temperature:25.57	Status: 13FF
Flow:0.22	Temperature:25.50	Status: 13FF
Flow:0.21	Temperature:25.53	Status: 13FF
Flow:0.21	Temperature:25.57	Status: 13FF
Flow:0.21	Temperature:25.58	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.58	Status: 13FF
Flow:0.22	Temperature:25.57	Status: 13FF
Flow:0.22	Temperature:25.52	Status: 13FF
Flow:0.22	Temperature:25.52	Status: 13FF
Flow:0.21	Temperature:25.47	Status: 13FF
Flow:0.22	Temperature:25.64	Status: 13FF
Flow:0.21	Temperature:25.58	Status: 13FF
Flow:0.21	Temperature:25.59	Status: 13FF
Flow:0.22	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.53	Status: 13FF
Flow:0.21	Temperature:25.51	Status: 13FF
Flow:0.21	Temperature:25.51	Status: 13FF
Flow:0.21	Temperature:25.57	Status: 13FF
Flow:0.21	Temperature:25.57	Status: 13FF
Flow:0.22	Temperature:25.52	Status: 13FF
Flow:0.21	Temperature:25.62	Status: 13FF
Flow:0.22	Temperature:25.58	Status: 13FF
Flow:0.21	Temperature:25.55	Status: 13FF
Flow:0.22	Temperature:25.60	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.63	Status: 13FF
Flow:0.21	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.52	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.52	Status: 13FF
Flow:0.22	Temperature:25.48	Status: 13FF
Flow:0.21	Temperature:25.57	Status: 13FF
Flow:0.21	Temperature:25.53	Status: 13FF
Flow:0.21	Temperature:25.60	Status: 13FF
Flow:0.21	Temperature:25.48	Status: 13FF
Flow:0.22	Temperature:25.53	Status: 13FF
Flow:0.22	Temperature:25.52	Status: 13FF
Flow:0.21	Temperature:25.55	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.46	Status: 13FF
Flow:0.21	Temperature:25.47	Status: 13FF
Flow:0.22	Temperature:25.50	Status: 13FF
Flow:0.21	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.60	Status: 13FF
Flow:0.21	Temperature:25.59	Status: 13FF
Flow:0.21	Temperature:25.50	Status: 13FF
Flow:0.21	Temperature:25.52	Status: 13FF
Flow:0.21	Temperature:25.56	Status: 13FF
Flow:0.22	Temperature:25.50	Status: 13FF
Flow:0.22	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.47	Status: 13FF
Flow:0.21	Temperature:25.58	Status: 13FF
Flow:0.22	Temperature:25.53	Status: 13FF
Flow:0.22	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.57	Status: 13FF
Flow:0.21	Temperature:25.59	Status: 13FF
Flow:0.20	Temperature:25.51	Status: 13FF
Flow:0.22	Temperature:25.60	Status: 13FF
Flow:0.21	Temperature:25.52	Status: 13FF
Flow:0.22	Temperature:25.51	Status: 13FF
Flow:0.22	Temperature:25.61	Status: 13FF
Flow:0.22	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.52	Status: 13FF
Flow:0.22	Temperature:25.63	Status: 13FF
Flow:0.21	Temperature:25.64	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.51	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.20	Temperature:25.54	Status: 13FF
Flow:0.22	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.53	Status: 13FF
Flow:0.22	Temperature:25.52	Status: 13FF
Flow:0.22	Temperature:25.53	Status: 13FF
Flow:0.22	Temperature:25.58	Status: 13FF
Flow:0.21	Temperature:25.54	Status: 13FF
Flow:0.21	Temperature:25.51	Status: 13FF
Flow:0.22	Temperature:25.62	Status: 13FF
Flow:0.21	Temperature:25.56	Status: 13FF
Flow:0.22	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.56	Status: 13FF
Flow:0.21	Temperature:25.52	Status: 13FF
Flow:0.21	Temperature:25.62	Status: 13FF
Flow:0.21	Temperature:25.48	Status: 13FF
Flow:0.21	Temperature:25.58	Status: 13FF
Flow:0.21	Temperature:25.50	Status: 13FF
Flow:0.22	Temperature:25.57	Status: 13FF
Flow:0.20	Temperature:25.54	Status: 13FF
